scenario_id,strategy,IFS,TCS,PCE,PPS
1,baseline,5,5,4,1.0
2,baseline,5,5,5,0.25
3,baseline,5,5,5,1.0
4,baseline,5,5,4,1.0
5,baseline,5,5,4,1.0
6,baseline,5,4,5,0.25
7,baseline,5,4,5,0.25
8,baseline,5,5,5,0.75
9,baseline,5,4,4,1.0
10,baseline,5,4,4,1.0
1,role,5,5,4,1.0
2,role,5,5,5,1.0
3,role,3,5,5,1.0
4,role,5,4,3,0.75
5,role,3,5,4,0.75
6,role,5,4,4,1.0
7,role,5,5,5,0.25
8,role,5,5,5,1.0
9,role,5,4,5,0.25
10,role,5,5,5,1.0
1,few_shot,5,5,4,1.0
2,few_shot,5,5,5,1.0
3,few_shot,4,5,4,1.0
4,few_shot,5,4,3,0.75
5,few_shot,5,5,4,1.0
6,few_shot,5,5,5,1.0
7,few_shot,5,5,5,1.0
8,few_shot,5,5,5,1.0
9,few_shot,5,3,3,1.0
10,few_shot,5,4,4,1.0
