scenario_id,strategy,IFS,PCE,PPS
1,baseline,1.0,1.0,0.8
2,baseline,1.0,1.0,0.0
3,baseline,0.833,1.0,0.0
4,baseline,1.0,0.8,1.0
5,baseline,1.0,1.0,0.6
6,baseline,1.0,1.0,0.0
7,baseline,1.0,1.0,0.0
8,baseline,1.0,1.0,0.4
9,baseline,1.0,0.8,0.8
10,baseline,1.0,1.0,0.6
1,role,1.0,1.0,1.0
2,role,1.0,1.0,0.2
3,role,0.833,1.0,0.0
4,role,1.0,0.8,0.6
5,role,0.833,1.0,0.4
6,role,1.0,1.0,0.8
7,role,0.833,1.0,0.0
8,role,1.0,1.0,1.0
9,role,1.0,1.0,0.0
10,role,1.0,1.0,0.4
1,few_shot,1.0,0.8,1.0
2,few_shot,1.0,1.0,0.4
3,few_shot,0.833,1.0,0.0
4,few_shot,1.0,0.8,0.4
5,few_shot,0.833,1.0,0.8
6,few_shot,1.0,1.0,0.8
7,few_shot,1.0,1.0,0.6
8,few_shot,0.833,1.0,1.0
9,few_shot,1.0,0.8,0.8
10,few_shot,1.0,0.8,0.4
